CATEGORIA,SUBCATEGORIA,PALABRAS_CLAVE
Interior,Parasol,"parasol, visor, sun visor"
Interior,Reloj,"reloj, clock, indicador"
Neumáticos,Cauchos,"caucho, cauchos, neumático, tire, llanta, goma"
Neumáticos,Rines,"rin, rines, rim, wheel, aro"
Neumáticos,Válvulas de aire,"válvula aire, valve stem, pito"
Neumáticos,Tapas de rin,"tapa rin, hubcap, copas"
Neumáticos,Tuercas de rin,"tuerca, tuercas rin, lug nut"
Neumáticos,Caucho de repuesto,"caucho repuesto, spare tire, caucho auxilio"
Filtros,Filtro de aceite,"filtro aceite, oil filter"
Filtros,Filtro de aire,"filtro aire, air filter"
Filtros,Filtro de combustible,"filtro combustible, filtro gasolina, fuel filter"
Filtros,Filtro de cabina,"filtro cabina, cabin filter, filtro polen, filtro aire acondicionado"
Filtros,Filtro de transmisión,"filtro transmisión, transmission filter, filtro caja"
Dirección,Bomba de dirección,"bomba dirección, power steering pump"
Dirección,Caja de dirección,"caja dirección, steering rack, cremallera"
Dirección,Columna de dirección,"columna, steering column"
Dirección,Aceite de dirección,"aceite dirección, power steering fluid"
Dirección,Manguera de dirección,"manguera dirección, power steering hose"
Dirección,Cruceta de dirección,"cruceta dirección, steering u-joint"
Refrigeración y A/C,Compresor de A/C,"compresor, compresor aire, AC compressor, aire acondicionado"
Refrigeración y A/C,Condensador,"condensador, condenser, condensador aire"
Refrigeración y A/C,Evaporador,"evaporador, evaporator"
Refrigeración y A/C,Válvula de expansión,"válvula expansión, expansion valve, TXV"
Refrigeración y A/C,Filtro secador,"filtro secador, receiver drier, acumulador AC"
Refrigeración y A/C,Mangueras de A/C,"manguera AC, AC hose"
Refrigeración y A/C,Gas refrigerante,"gas refrigerante, R134a, R1234yf, freón"
Refrigeración y A/C,Ventilador,"ventilador, fan, motoventilador"
Escape,Catalizador,"catalizador, catalytic converter, catálisis"
Escape,Silenciador,"silenciador, muffler, mofle"
Escape,Tubo de escape,"tubo escape, exhaust pipe"
Escape,Sensor de oxígeno,"sensor oxígeno, O2 sensor, sonda lambda"
Escape,Abrazaderas de escape,"abrazadera, clamp, abrazadera escape"
Escape,Resonador,"resonador, resonator"
Lubricantes y Fluidos,Aceite de motor,"aceite motor, engine oil, 5W30, 10W40, 20W50, sintético, mineral"
Lubricantes y Fluidos,Aceite de caja,"aceite caja, ATF, gear oil, transmission fluid"
Lubricantes y Fluidos,Refrigerante,"refrigerante, coolant, anticongelante"
Lubricantes y Fluidos,Líquido de frenos,"líquido frenos, brake fluid, DOT3, DOT4"
Lubricantes y Fluidos,Aceite de dirección,"aceite dirección, power steering fluid"
Lubricantes y Fluidos,Aditivos,"aditivo, aditivos, additive, limpiador inyectores"
Lubricantes y Fluidos,Grasa,"grasa, grease, lubricante"
Lubricantes y Fluidos,Agua destilada,"agua destilada, distilled water, agua batería"
Accesorios,Limpiaparabrisas,"limpiaparabrisas, plumilla, wiper, escobilla"
Accesorios,Antena,"antena, antenna"
Accesorios,Calcomanías,"calcomanía, sticker, emblema"
Accesorios,Cargador USB,"cargador, USB, adaptador"
Accesorios,Porta placas,"porta placa, license plate frame"
Accesorios,Alarma,"alarma, alarm, security system, anti robo"
Accesorios,Corneta,"corneta, bocina, horn, claxon"
Accesorios,Gato hidráulico,"gato, jack, gato hidráulico"
Accesorios,Llave de rueda,"llave rueda, lug wrench, cruceta"
